timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,message,param_shape_p,param_shape_n,param_sigma_p,param_sigma_n,se_shape_p,se_shape_n,se_sigma_p,se_sigma_n,param_c,param_rho_1,param_phi_1,se_c,se_rho_1,se_phi_1,param_rho_2,se_rho_2,param_phi_2,se_phi_2,selection_eligible,selection_reason,selection_bounds_ok,selection_mean_stationary,selection_loglik_upper_threshold,selection_loglik_plausible,selection_implied_variance_bounds_ok,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max,rank,se_message,se_hessian_ridge,se_used_pseudoinverse,se_used_opg_fallback
2026-06-01T16:36:39,12,17,120017,constant,-199.84387944912683,407.68775889825366,421.1703110107643,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675955269816306,0.1859667401333952,0.2982573765159728,1.572588837486162,0.6359698949270248,0.11894138735347509,0.051267137568216735,0.9306175709311039,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979485693538847,0.6979485693538847,0.6979485693538847,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,11,computed,1e-08,False,False
2026-06-01T16:48:03,46,38,460038,constant,-199.84387944915107,407.68775889830215,421.1703110108128,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6759092745724606,0.1859658089408801,0.2982596101374538,1.5725918382555684,0.6317683723179641,0.11886715320211746,0.0510000288045142,0.9301451677988347,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979474953628397,0.6979474953628397,0.6979474953628397,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,12,computed,1e-08,False,False
2026-06-01T16:41:27,31,27,310027,constant,-199.8438794492099,407.6877588984198,421.1703110109305,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675880199268416,0.1859678818193738,0.2982617958396724,1.5725821248472998,0.6161258862386834,0.11793257706451951,0.04998728613980479,0.9226872795721666,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979478426564951,0.6979478426564951,0.6979478426564951,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,13,computed,1e-08,False,False
2026-06-01T16:28:18,3,1,30001,constant,-199.84387944937197,407.6877588987439,421.1703110112545,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675885667138433,0.1859638281587753,0.298261500602766,1.5725962628486263,0.6738369676443081,0.11809053065868595,0.053636210146314624,0.9232068786906675,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979461022189968,0.6979461022189968,0.6979461022189968,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,14,computed,1e-08,False,False
2026-06-01T16:41:08,13,26,130026,constant,-199.84387944948435,407.6877588989687,421.1703110114793,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6759184465539283,0.1859780432307842,0.2982595033344655,1.5725080336712551,0.6170556472946669,0.11722152616353422,0.04998199009497601,0.9173368932824917,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979293778217792,0.6979293778217792,0.6979293778217792,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,15,computed,1e-08,False,False
2026-06-01T16:45:19,28,32,280032,constant,-199.84387945047345,407.6877589009469,421.1703110134575,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675878177848076,0.1859744727514399,0.2982635799702547,1.5725316123681026,0.6787953631439533,0.1190947679740565,0.05415501730215264,0.9298961859214201,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979372648848614,0.6979372648848614,0.6979372648848614,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,16,computed,1e-08,False,False
2026-06-01T16:43:26,14,29,140029,constant,-199.84387945053288,407.68775890106576,421.1703110135764,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6759707250106377,0.1859722268804394,0.2982562428244704,1.5725379298473456,0.6385460669539358,0.11840585450438845,0.05143759083227195,0.9262193339879046,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979319272763336,0.6979319272763336,0.6979319272763336,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,17,computed,1e-08,False,False
2026-06-01T16:41:50,33,27,330027,constant,-199.8438794509106,407.6877589018212,421.17031101433184,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675982271281088,0.1859703734737148,0.2982555966735079,1.572560808982579,0.6754851813081206,0.11931330203462484,0.05378115647208752,0.9330319459524795,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979407216255997,0.6979407216255997,0.6979407216255997,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,18,computed,1e-08,False,False
2026-06-01T16:45:17,26,33,260033,constant,-199.8438794510326,407.6877589020652,421.1703110145758,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6759453017049,0.185973946039249,0.2982563264895718,1.5725276241376125,0.6741969141518005,0.11991762610268791,0.05390060078094393,0.9367005235261276,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979280227034745,0.6979280227034745,0.6979280227034745,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,19,computed,1e-08,False,False
2026-06-01T16:31:30,20,7,200007,constant,-199.84387945106724,407.6877589021345,421.1703110146451,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675922584903038,0.1859776959469523,0.298258059919649,1.5725045505818325,0.665556330397398,0.1182460202047005,0.05320688569079873,0.9239336165243212,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979245459113902,0.6979245459113902,0.6979245459113902,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,20,computed,1e-08,False,False
