seed,draw,mean_type,success,optimizer_success,loglik,AIC,BIC,selection_eligible,selection_reason,selection_bounds_ok,selection_mean_stationary,selection_loglik_upper_threshold,selection_loglik_plausible,selection_implied_variance_bounds_ok,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,21,"ARX(1,1)",True,True,-184.39618202768636,382.7923640553727,406.3868302522663,True,eligible,True,True,-150.0,True,True,0.3944076741984496,0.3944076741984496,0.3944076741984496,2.6296476490285308,2.6296476490285308,2.6296476490285308,0.281257573005318,0.281257573005318,0.281257573005318,0.3944076741984496,0.3944076741984496,-0.16553251654535217,-0.16553251654535217,-0.16553251654535217,0.7960335403320723,0.7960335403320723,0.7960335403320723,9.817335269402907e-08,1.4359098983029466e-06,98173.35269402906,1435909.8983029465
1,22,"ARX(1,1)",True,True,-184.39617750448957,382.7923550089791,406.3868212058727,True,eligible,True,True,-150.0,True,True,0.39446718743844633,0.39446718743844633,0.39446718743844633,2.6285645016860366,2.6285645016860366,2.6285645016860366,0.2810457295881716,0.2810457295881716,0.2810457295881716,0.39446718743844633,0.39446718743844633,-0.16568500488850518,-0.16568500488850518,-0.16568500488850518,0.7969034345479209,0.7969034345479209,0.7969034345479209,9.816412741843784e-08,1.4359959749538763e-06,98164.12741843784,1435995.974953876
1,23,"ARX(1,1)",True,True,-184.39617760153865,382.7923552030773,406.3868213999709,True,eligible,True,True,-150.0,True,True,0.3945000179056632,0.3945000179056632,0.3945000179056632,2.628367883635488,2.628367883635488,2.628367883635488,0.281094733886151,0.281094733886151,0.281094733886151,0.3945000179056632,0.3945000179056632,-0.16571385138325676,-0.16571385138325676,-0.16571385138325676,0.7970012544429993,0.7970012544429993,0.7970012544429993,9.816492821533488e-08,1.4359512425560998e-06,98164.92821533489,1435951.2425560998
1,24,"ARX(1,1)",True,True,-184.3961894676904,382.7923789353807,406.3868451322744,True,eligible,True,True,-150.0,True,True,0.3945431874212589,0.3945431874212589,0.3945431874212589,2.629677764077514,2.629677764077514,2.629677764077514,0.2811242366522598,0.2811242366522598,0.2811242366522598,0.3945431874212589,0.3945431874212589,-0.16571243590541002,-0.16571243590541002,-0.16571243590541002,0.7969601345058206,0.7969601345058206,0.7969601345058206,9.818161767539993e-08,1.4360185650544507e-06,98181.61767539993,1436018.5650544506
1,25,"ARX(1,1)",True,True,-184.39618080766377,382.79236161532754,406.3868278122212,True,eligible,True,True,-150.0,True,True,0.3945907265224387,0.3945907265224387,0.3945907265224387,2.626361396703408,2.626361396703408,2.626361396703408,0.2808222550376919,0.2808222550376919,0.2808222550376919,0.3945907265224387,0.3945907265224387,-0.16590177176378418,-0.16590177176378418,-0.16590177176378418,0.7981975409789248,0.7981975409789248,0.7981975409789248,9.815590643774173e-08,1.4360131580855857e-06,98155.90643774174,1436013.1580855858
1,26,"ARX(1,1)",True,True,-184.39617798399928,382.79235596799856,406.3868221648922,True,eligible,True,True,-150.0,True,True,0.39448759708847103,0.39448759708847103,0.39448759708847103,2.628763396821125,2.628763396821125,2.628763396821125,0.2810805106086591,0.2810805106086591,0.2810805106086591,0.39448759708847103,0.39448759708847103,-0.16575986582637697,-0.16575986582637697,-0.16575986582637697,0.7970471619020721,0.7970471619020721,0.7970471619020721,9.815700553835596e-08,1.4360221482430993e-06,98157.00553835597,1436022.1482430992
1,27,"ARX(1,1)",True,True,-184.3961774681266,382.7923549362532,406.3868211331469,True,eligible,True,True,-150.0,True,True,0.3944081096563532,0.3944081096563532,0.3944081096563532,2.62829076882405,2.62829076882405,2.62829076882405,0.2811398498129673,0.2811398498129673,0.2811398498129673,0.3944081096563532,0.3944081096563532,-0.16551582547703558,-0.16551582547703558,-0.16551582547703558,0.7962849092258575,0.7962849092258575,0.7962849092258575,9.816881961032999e-08,1.4360256273224085e-06,98168.81961032999,1436025.6273224086
1,28,"ARX(1,1)",True,True,-184.39617703079196,382.7923540615839,406.3868202584775,True,eligible,True,True,-150.0,True,True,0.3944986738354042,0.3944986738354042,0.3944986738354042,2.6282126045812637,2.6282126045812637,2.6282126045812637,0.2810738717649876,0.2810738717649876,0.2810738717649876,0.3944986738354042,0.3944986738354042,-0.16572558002681775,-0.16572558002681775,-0.16572558002681775,0.7970647104515673,0.7970647104515673,0.7970647104515673,9.815799027729618e-08,1.4359960613491179e-06,98157.99027729618,1435996.061349118
1,29,"ARX(1,1)",True,True,-184.39618035078269,382.79236070156537,406.386826898459,True,eligible,True,True,-150.0,True,True,0.39451664489090144,0.39451664489090144,0.39451664489090144,2.626351219044206,2.626351219044206,2.626351219044206,0.2809134950565838,0.2809134950565838,0.2809134950565838,0.39451664489090144,0.39451664489090144,-0.16566513895006596,-0.16566513895006596,-0.16566513895006596,0.7973790751609602,0.7973790751609602,0.7973790751609602,9.815736220673894e-08,1.4359716386002638e-06,98157.36220673894,1435971.638600264
1,30,"ARX(1,1)",True,True,-184.39617889581336,382.7923577916267,406.3868239885204,True,eligible,True,True,-150.0,True,True,0.39453526813548734,0.39453526813548734,0.39453526813548734,2.6264948066078104,2.6264948066078104,2.6264948066078104,0.2810375411347037,0.2810375411347037,0.2810375411347037,0.39453526813548734,0.39453526813548734,-0.16561020709308377,-0.16561020709308377,-0.16561020709308377,0.7971298718049198,0.7971298718049198,0.7971298718049198,9.816647610179933e-08,1.435954360628717e-06,98166.47610179933,1435954.3606287169
