model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,p,o,q,nobs,num_parameters,loglikelihood,aic,bic,persistence_proxy,stable_by_proxy,implied_initial_variance,implied_initial_variance_status,initialization_method,restart_attempts,valid_restart_attempts,optimizer_success,convergence_flag,covariance_type,selection_status,selected_checks_passed,resid_skewness,resid_excess_kurtosis,std_resid_skewness,std_resid_excess_kurtosis
M015,normal,Normal,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,688,7,70.59108771982616,-127.18217543965233,-95.44565357411892,0.8412073213319161,True,0.055450719598682224,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.07931695317021772,5.993975896003306,0.178952824296553,2.2394536805547514
M018,normal,Normal,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,688,8,70.81158691922955,-125.62317383845911,-89.35286313499236,0.8424200972995551,True,0.055676899806726035,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.08333279559402622,6.00907974633396,0.1878703943631938,2.245436686954715
M021,normal,Normal,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,688,9,76.94364608168425,-135.8872921633685,-95.08319262196841,0.8917372420518701,True,0.05332562736205957,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.10745551568688635,6.115129666727682,0.2275318506119236,1.815738891452468
M024,normal,Normal,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,688,10,76.9436450636224,-133.8872901272448,-88.54940174791136,0.8917328481950072,True,0.05332326977665871,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.10746135352455052,6.115179464528893,0.2275328396694586,1.8157059275688594
M013,normal,Normal,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,688,6,76.27386899863187,-140.54773799726374,-113.34500496966368,0.8961381745270594,True,0.06713178856035873,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.08026759884819888,6.022451108161317,0.17506113546712077,1.9942099827207311
M016,normal,Normal,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,688,7,76.27460301854687,-138.54920603709374,-106.81268417156033,0.8956465814632653,True,0.06704976907523645,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.08031238026166879,6.022535103686419,0.17511467835522276,1.9936755252165952
M019,normal,Normal,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,688,7,76.27386899961829,-138.54773799923657,-106.81121613370317,0.8961374842808512,True,0.06713158946562404,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.08026769096117917,6.022448834428342,0.17506041539077813,1.9942119251490515
M022,normal,Normal,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,688,8,76.34748324785019,-136.69496649570038,-100.42465579223364,0.8549770183332717,True,0.06794070167271586,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.07969063893245557,6.021939591288362,0.1753015429244416,1.9877367075012486
M014,normal,Normal,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,688,7,77.24887813526072,-140.49775627052145,-108.76123440498804,0.8987039209090557,True,0.06694967296844845,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.08181271410622967,6.035064504171299,0.18404088249685263,2.0866155102075865
M017,normal,Normal,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,688,8,77.24991428683882,-138.49982857367763,-102.22951787021088,0.898107549136096,True,0.06685804710216449,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.08188309239576136,6.035248376172678,0.1841736076921446,2.0861573119731727
M020,normal,Normal,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,688,9,79.6561391774707,-141.3122783549414,-100.50817881354132,0.8853252489298371,True,0.06777888818614847,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.0849118702030745,6.055838914283266,0.18615243306028223,1.8593138192297953
M023,normal,Normal,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,688,10,81.92111179832622,-143.84222359665245,-98.50433521731901,0.8429859820870969,True,0.06543588006551303,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.09192593078362384,6.081087408430108,0.18747112456891074,1.743244112104417
M027,normal,Normal,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,688,8,70.83421225921497,-125.66842451842993,-89.39811381496318,0.8439016643845397,True,0.055448958536031503,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.061252301824039734,6.040165229050309,0.18185568753017123,2.266514236122722
M030,normal,Normal,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,688,9,71.05495788131635,-124.10991576263271,-83.30581622123262,0.8453212156043665,True,0.05568375602882559,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.06503281042809234,6.046305110733069,0.19092188994207385,2.2757143732347247
M033,normal,Normal,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,688,10,77.39599061519608,-134.79198123039217,-89.45409285105873,0.8913876274060315,True,0.05304089881433828,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.0737895613497856,6.142115365669223,0.21601310734452603,1.8449508663252985
M036,normal,Normal,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,688,11,77.39598931430365,-132.7919786286073,-82.92030141134052,0.8913941129705003,True,0.053042212126762474,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.07379884137151672,6.142114763675149,0.2160168404191829,1.8449182883823472
M025,normal,Normal,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,688,7,76.48374154688138,-138.96748309376275,-107.23096122822935,0.8972777407469212,True,0.06729480852661579,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.0616452657468169,6.062518759814459,0.17669825150233973,1.999439501756063
M028,normal,Normal,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,688,8,76.48374154568995,-136.9674830913799,-100.69717238791316,0.8972771105177917,True,0.06729485685517346,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06164646901807374,6.062520103870167,0.17669725232397537,1.999439653428884
M031,normal,Normal,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,688,8,76.48476575131619,-136.96953150263238,-100.69922079916563,0.8966526465702739,True,0.06745643508721068,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.061415638028173306,6.062846062948209,0.17658105678737127,1.9999628681216697
M034,normal,Normal,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,688,9,76.59352106834719,-135.18704213669437,-94.38294259529428,0.8552763473119159,True,0.06837812763095759,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.05897744238097884,6.066966480034909,0.176895307322763,1.9874027444666895
M026,normal,Normal,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,688,8,77.60146460734276,-139.20292921468553,-102.93261851121878,0.8995306355967929,True,0.06692572883056415,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05673619772298193,6.084380122891606,0.18433422000150987,2.1056337516448487
M029,normal,Normal,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,688,9,77.60146460631972,-137.20292921263945,-96.39882967123935,0.8995294242223701,True,0.06692497942668721,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.056737049520700446,6.084378940455627,0.18433435592346661,2.105632485415782
M032,normal,Normal,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,688,10,80.09660396860909,-140.19320793721818,-94.85531955788474,0.884790729616679,True,0.06739730460303078,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.056517040125069924,6.112518874720202,0.1786415389229081,1.8703213053562795
M035,normal,Normal,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,688,11,82.55021937712938,-143.10043875425876,-93.22876153699198,0.8413154749162441,True,0.06475014206953744,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05727683709167433,6.138085787668778,0.17125608086030128,1.754270934459793
