model_id,parameter,coef,std_err,t_value,p_value
M027,alpha[1],0.4463940364896133,0.1317479431463249,3.388242926827548,0.0007034193353112217
M027,beta[1],0.8439016643845397,0.0776728045512329,10.8648280342176,1.695422916440845e-27
M027,gamma[1],0.022859592986685,0.05162574517632484,0.4427944411961385,0.6579144244404036
M027,omega,-0.45148202154238665,0.23062112424961112,-1.9576785214771928,0.050267747092511604
M028,Const,0.02363771404143382,0.019277335777789003,1.2261919548379068,0.22012644809161142
M028,Inflation_lag_1,0.4542148690295918,0.046508922595230005,9.766187726657346,1.5725840708204596e-22
M028,Inflation_lag_2,-0.02746640991254743,0.04856463071236948,-0.5655640640041292,0.5716901625937562
M028,SPF,0.5682437043541659,0.08015321088659487,7.089469006527363,1.346275467450238e-12
M028,alpha[1],0.268215029312273,0.08132369051205707,3.298116792578509,0.0009733563917915156
M028,beta[1],0.6290620812055188,0.1925235090967865,3.267455928664136,0.001085187608385728
M028,beta[2],0.0,0.13943148359369462,0.0,1.0
M028,omega,0.006912722143455012,0.0026192980248985623,2.639150672334326,0.008311403177956683
M029,Const,0.027751340856223498,0.018814483435448812,1.474998819469927,0.1402128608075418
M029,Inflation_lag_1,0.45439253606801094,0.04628078553723239,9.818168183477722,9.403673008908264e-23
M029,Inflation_lag_2,-0.03610469667597029,0.04912427521588259,-0.7349665011301199,0.4623598958607186
M029,SPF,0.5752607252674058,0.0782011500708913,7.356167073577787,1.89266104478228e-13
M029,alpha[1],0.31774421223032573,0.08300918830927893,3.827819771546997,0.00012928336452279878
M029,beta[1],0.63516398896897,0.18570885602581294,3.420213782807882,0.0006257194160812313
M029,beta[2],0.0,0.13241884482357705,0.0,1.0
M029,gamma[1],-0.10675755395385096,0.08271431935696522,-1.290678020248511,0.19681534936114087
M029,omega,0.006723991216905297,0.0023944606603420694,2.8081443676525955,0.004982788360326772
M030,Const,0.023530127122353504,0.013791295656728366,1.7061578337546444,0.08797869712003713
M030,Inflation_lag_1,0.45803908826033973,0.042742121977718546,10.716339457809683,8.531327353142746e-27
M030,Inflation_lag_2,-0.028594031492023147,0.04598272326754042,-0.6218429327392166,0.5340451527484745
M030,SPF,0.5905060882520123,0.08103558908185823,7.286996922494284,3.169401436623406e-13
M030,alpha[1],0.4587768243505339,0.11918305232992626,3.849346156033439,0.0001184335403431671
M030,beta[1],0.7520363986742862,0.1652581785225105,4.550675829770495,5.347387971443615e-06
M030,beta[2],0.09328481693008028,0.1641764014571151,0.5681986942224911,0.5699000580192771
M030,gamma[1],0.020077059223264738,0.050203587098308765,0.39991284256142495,0.6892207128625623
M030,omega,-0.4467226630864911,0.19988984141024618,-2.2348442518879925,0.02542757552942316
M031,Const,0.023662429564234453,0.01932618688849728,1.2243713517185355,0.22081217143791032
M031,Inflation_lag_1,0.4543426355410138,0.046511272720305495,9.768441260964694,1.5380003095347297e-22
M031,Inflation_lag_2,-0.027710084364969585,0.048464130689030716,-0.5717648077249312,0.5674813221408628
M031,SPF,0.5681304188606578,0.08048435808675476,7.0588923408976605,1.6783503635778868e-12
M031,alpha[1],0.2669771427155674,0.0882675303693972,3.024635917627641,0.0024893259221690054
M031,alpha[2],0.0039014382480284915,0.1238584134431311,0.031499178292153845,0.9748714474489859
M031,beta[1],0.625774065606678,0.13054442442345507,4.793571754369347,1.6383782088131637e-06
M031,omega,0.00697144403806734,0.0030893390010416186,2.2566134813035443,0.024032237237556597
M032,Const,0.028319516362619333,0.018357822682183562,1.5426402603890323,0.12291808392297864
M032,Inflation_lag_1,0.4481141614221183,0.04984664236276208,8.989856491455116,2.4755345771798793e-19
M032,Inflation_lag_2,-0.040532906115847755,0.048322366174498914,-0.8388021805363935,0.4015803268923894
M032,SPF,0.5838306865915392,0.08783346985467823,6.647018358235144,2.990897386566928e-11
M032,alpha[1],0.18315743209717616,0.08758775460847712,2.091130580021164,0.03651636013003887
M032,alpha[2],0.19935441256051203,0.16727647663535006,1.1917659707472763,0.23335302231756216
M032,beta[1],0.5793643481873402,0.21042831404264636,2.7532623203449873,0.005900459698623873
M032,gamma[1],0.04518349229384182,0.12366469157505766,0.365371002170154,0.7148344841210947
M032,gamma[2],-0.19935441875054047,0.1496186689328434,-1.3324167376466973,0.1827232850620626
M032,omega,0.0077647942891176155,0.004126936780496605,1.8814909706911618,0.05990516239942614
M033,Const,0.020704368830957866,0.0025737027978091362,8.044584187646862,8.653875216184263e-16
M033,Inflation_lag_1,0.4316801445601064,0.0071359968739788185,60.493320300379345,0.0
M033,Inflation_lag_2,-0.040387535644668265,0.001661174015074929,-24.312645922797284,1.4408217032452639e-130
M033,SPF,0.640732589308015,0.010476612536907796,61.15837414534462,0.0
M033,alpha[1],0.4092992725472479,0.08534423123000852,4.795863371762744,1.6197565824003067e-06
M033,alpha[2],-0.12098920703525473,0.10500690775311974,-1.1522023610076277,0.24923792772331543
M033,beta[1],0.8913876274060315,0.04288564554726521,20.78522116272247,5.889225737269703e-96
M033,gamma[1],-0.10533875463958547,0.06882357448911748,-1.5305620991284294,0.12587765483428123
M033,gamma[2],0.18288729133533585,0.07445061327663298,2.456491401296982,0.014030115972720516
M033,omega,-0.3189610843157888,0.127123302129939,-2.509068589091266,0.012104997733818559
M034,Const,0.024149360800999355,0.019415729963456283,1.2438039077826366,0.21357174182165906
M034,Inflation_lag_1,0.455557842142768,0.04641682171612072,9.814498823915624,9.752136929207476e-23
M034,Inflation_lag_2,-0.030436695250061995,0.04923151465149987,-0.6182360113337427,0.5364197751890889
M034,SPF,0.5673547862355971,0.07955386297162843,7.131706306178177,9.913222520865e-13
M034,alpha[1],0.25777137727506527,0.08409393270991623,3.0652791345156016,0.0021746693086044026
M034,alpha[2],0.1294106203774791,0.11682553270683296,1.1077254892749149,0.2679803877428665
M034,beta[1],0.24553705978030455,0.17799283805864535,1.3794771882866692,0.16774767484082176
M034,beta[2],0.222557289879067,0.11162594322026499,1.9937774630034493,0.04617637954826138
M034,omega,0.00989593239472419,0.0038029156131983125,2.602196157174667,0.0092628854322563
M035,Const,0.027683523187670613,0.018651743278670262,1.4842324802598426,0.1377472557790262
M035,Inflation_lag_1,0.44333182559355544,0.07355730826827224,6.027026219837621,1.6700391882744136e-09
M035,Inflation_lag_2,-0.046931020980120225,0.13905578339665067,-0.33749780004655755,0.7357416702756567
