seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_n,param_phi_n_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
33,36,330036,"ARX(2,1)",True,0,-167.7221057191783,357.4442114383566,394.5212297477609,-167.7221057191783,357.4442114383566,394.5212297477609,True,eligible,2.879356711585178,0.0442364727552829,0.5359065288526786,0.8458574989360641,0.0463213509205412,0.2271558076487956,0.4655523489446773,0.1197369011969052,0.1948604253732698,0.7026405033739651,0.0593069052138085,,2.879356711585178,2.879356711585178,2.879356711585178,0.11414606484979851,0.3929409896379982,3.853599955528046,0.17331402076673877,0.23373975107314549,0.9837994787176972,-0.710183309615771,-0.01179917350831769,0.04446350785337273,0.07817094300019556,0.1567506133977782,1.1321537384893485
33,37,330037,"ARX(2,1)",True,0,-167.7441521655023,357.4883043310046,394.5653226404089,-167.7441521655023,357.4883043310046,394.5653226404089,True,eligible,2.558571632043273,0.0421782540231416,0.5439119406514829,0.8344484472185288,0.0447569412032479,0.2438822765076185,0.4573791447204037,0.1222610881132335,0.1968207413653928,0.7034941713737863,0.0517109016546621,,2.558571632043273,2.558571632043273,2.558571632043273,0.11336312569233348,0.40238417609177657,4.050145547045713,0.17589524499366646,0.23635720075160843,0.999453128613379,-0.7008218716791967,-0.0027735460291164332,0.05253452919626432,0.08407529759566346,0.15996557802381267,1.1177838165018414
33,38,330038,"ARX(2,1)",True,0,-167.7203902183768,357.4407804367536,394.5177987461579,-167.7203902183768,357.4407804367536,394.5177987461579,True,eligible,2.895260578654168,0.0438510503598637,0.5397240040149626,0.8375831639412837,0.0463369030800621,0.2267712517932059,0.4728368437335554,0.1251291967699864,0.1941186172832594,0.6932415172148347,0.0628897617076371,,2.895260578654168,2.895260578654168,2.895260578654168,0.1140946923534253,0.3846007324399825,3.751624679253597,0.1743980405849291,0.2348763421495649,0.9876576462771379,-0.7256734504926398,-0.013787978762015735,0.043404759690361346,0.08015856594632866,0.16128706774923085,1.171104106407873
33,39,330039,"ARX(2,1)",True,0,-167.7090088376155,357.418017675231,394.4950359846353,-167.7090088376155,357.418017675231,394.4950359846353,True,eligible,2.7680790435918903,0.0428258177326292,0.5408600778720815,0.8368513270111683,0.0461502393265965,0.2331318070817316,0.467876146724958,0.1238985420772379,0.1952130492479464,0.6937562560688524,0.0623154425893943,,2.7680790435918903,2.7680790435918903,2.7680790435918903,0.11270179508378587,0.38907685171676076,3.8246743729637465,0.17511764706769925,0.23561838247244601,0.9876984693024236,-0.7133129844978506,-0.009552318388685754,0.04706138352171256,0.0814654673649608,0.16093006946997845,1.1487485554972137
33,40,330040,"ARX(2,1)",True,0,-167.77379551780334,357.5475910356067,394.624609345011,-167.77379551780334,357.5475910356067,394.624609345011,True,eligible,3.0905799123388342,0.0443717920470052,0.5524886418756774,0.8141463273398541,0.0433639645331448,0.2173075780104402,0.4681040007653287,0.1229970752806453,0.1923803219466745,0.6957717531789479,0.0635850582490424,,3.0905799123388342,3.0905799123388342,3.0905799123388342,0.11974111659953061,0.39818662014282896,3.8249621682649213,0.172183003634845,0.23319635981318398,0.984076063023346,-0.7212348684921825,-0.01825528215986233,0.038865910094538596,0.07584706807477706,0.15606304394308881,1.1432657143986318
34,1,340001,"ARX(2,1)",True,0,-167.72515833510138,357.45031667020277,394.5273349796071,-167.72515833510138,357.45031667020277,394.5273349796071,True,eligible,2.638539185737361,0.0418443058902326,0.5418954065647212,0.8362791729774813,0.0459640604810248,0.2399510312792804,0.4645660455955653,0.121150882072468,0.1953494926722876,0.7006141503685418,0.0580968202898758,,2.638539185737361,2.638539185737361,2.638539185737361,0.11126417250529638,0.39182562882378014,3.888439585639227,0.1759310575245964,0.23648228293328488,0.9911271391602792,-0.7068305998401859,-0.0056658464673674525,0.05059424022079281,0.08357680607132749,0.16198638406407445,1.139198394420273
34,2,340002,"ARX(2,1)",True,0,-167.71056176134704,357.4211235226941,394.4981418320984,-167.71056176134704,357.4211235226941,394.4981418320984,True,eligible,2.8215378680656427,0.0431711920171154,0.5422768501009066,0.8335130616680111,0.0460451144208868,0.2303142508600672,0.4699348163194796,0.1248244441854089,0.194938639804987,0.6924622047495109,0.0625642466035347,,2.8215378680656427,2.8215378680656427,2.8215378680656427,0.11378765931821115,0.38767895474397307,3.797009507661669,0.17479622273484935,0.23528202901000378,0.988194263884732,-0.7191647247161794,-0.01152537911508944,0.04532339340861119,0.08093073579752835,0.16107638821926779,1.1587094859057208
34,3,340003,"ARX(2,1)",True,0,-167.70933629632765,357.4186725926553,394.4956909020596,-167.70933629632765,357.4186725926553,394.4956909020596,True,eligible,2.7740572983312517,0.0422030614630768,0.545042121391627,0.8287788444909965,0.0459223685967161,0.2328832619541018,0.4720787423159209,0.1241882456542171,0.1947023152257589,0.6928860214536722,0.0632660213007637,,2.7740572983312517,2.7740572983312517,2.7740572983312517,0.11237404906086854,0.3872899090426713,3.7543259019245467,0.17549341986658173,0.23676071177219732,0.9871327603192064,-0.7198858212976265,-0.011416435403438868,0.04642953681237193,0.08244447042090022,0.16436803185594523,1.1677280418427263
34,4,340004,"ARX(2,1)",True,0,-167.90994659265556,357.8198931853111,394.8969114947154,-167.90994659265556,357.8198931853111,394.8969114947154,True,eligible,2.3334143997469754,0.0501926348218022,0.5729774479655361,0.7751061113704035,0.0419288379527454,0.2538395487762749,0.448755297167614,0.1123511788407646,0.2203137431067015,0.6953095079472914,0.0466033636916923,,2.3334143997469754,2.3334143997469754,2.3334143997469754,0.14263900781478833,0.44889900798319593,3.9637454689940386,0.179077259907027,0.2407523020045065,0.9485767104477169,-0.6400839642134615,-0.004804058706613948,0.05054994498194509,0.09283518230075495,0.16735638942478448,1.0226120577658009
34,5,340005,"ARX(2,1)",True,0,-167.71233902687106,357.4246780537421,394.50169636314644,-167.71233902687106,357.4246780537421,394.50169636314644,True,eligible,2.7150719520041853,0.0423879706024748,0.5405297934410583,0.8387749007056939,0.0454267626675045,0.2361805322428998,0.469382800232999,0.1243885000039433,0.1937514199757529,0.6963941305331289,0.0609098216209207,,2.7150719520041853,2.7150719520041853,2.7150719520041853,0.11142315267676532,0.38574609222521467,3.8216748937594027,0.17599886326600195,0.23643775178050497,0.9934423177184486,-0.7188942127821175,-0.008244366883880444,0.04849358258393445,0.0831399916131106,0.16303544441515466,1.1637358883737439
