model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,16,random_16,-189.89270825323212,True,0,True,0.8670127878808523,0.4308684630091755,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,17,random_17,-189.89270790566724,True,0,True,0.8669954521904923,0.430787595211902,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,18,random_18,-189.89270815959242,True,0,True,0.8669599303388523,0.43078875269428146,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,19,random_19,-189.89270783233252,True,0,True,0.8669707437152452,0.4307142890351934,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,20,random_20,-189.89270787563512,True,0,True,0.866996013489262,0.4307635014043478,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,21,random_21,-189.89270793911447,True,0,True,0.86700085676126,0.4307559950581956,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,22,random_22,-189.89270804368508,True,0,True,0.8669558503523069,0.4306544834410479,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,23,random_23,-189.89270783805176,True,0,True,0.8669786581455633,0.43071849181804533,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,24,random_24,-189.8927078688831,True,0,True,0.8669920801102444,0.4307411049570879,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,25,random_25,-189.89270795773058,True,0,True,0.8669988237282209,0.43074464103328236,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,26,random_26,-189.89270782684991,True,0,True,0.8669769803842995,0.43072649888565995,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,27,random_27,-189.89270784083044,True,0,True,0.8669792027456111,0.43072395449877227,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,28,random_28,-189.8927081067006,True,0,True,0.8669804960859515,0.4307408570264504,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,29,random_29,-189.89270783148115,True,0,True,0.8669804006678073,0.43072562662857333,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,30,random_30,-189.89270837391567,True,0,True,0.8670484712356741,0.4308734249766695,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,31,random_31,-189.892707852132,True,0,True,0.8669823429575564,0.4307362935280891,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,32,random_32,-189.89270785902823,True,0,True,0.866973132060693,0.43070533497834346,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,33,random_33,-189.89270783433938,True,0,True,0.8669720370875844,0.4307193552400644,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,34,random_34,-189.892707852132,True,0,True,0.8669823429575564,0.4307362935280891,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,35,random_35,-189.89270812635687,True,0,True,0.8670182502840095,0.4307986056097466,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,36,random_36,-189.89270789710497,True,0,True,0.8669667889396264,0.43072191028919066,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,37,random_37,-189.89270823213485,True,0,True,0.8669758633969844,0.43063840950720955,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,38,random_38,-189.892707852132,True,0,True,0.8669823429575564,0.4307362935280891,exact_under_symmetry,
