model_id,parameter,coef,std_err,t_value,p_value
M036,alpha[2],-0.05920685185261355,0.5293714503119731,-0.11184368144092646,0.9109473519989267
M036,beta[1],0.6937250663213637,0.6825783042440519,1.0163303785192188,0.30947208701863027
M036,beta[2],8.719215526125718e-15,0.606907177712842,1.4366637677584387e-14,0.9999999999999886
M036,gamma[1],0.029026738412974346,0.14433558309491018,0.20110590743162307,0.8406157628998038
M036,gamma[2],0.35656246863990665,0.14860863564355417,2.3993388210301654,0.016424708940260994
M036,omega,-0.34924859240817335,0.14433867242724205,-2.4196466999114317,0.015535592901878897
M037,Const,0.11939484949765035,0.07482582016165483,1.5956370306360548,0.11056985488807741
M037,Inflation_lag_1,0.45316386139867054,0.1795780780572165,2.5234921004906017,0.011619567117396744
M037,Inflation_lag_2,0.15328840781286407,0.10076385232069254,1.5212638687632356,0.12819363342180728
M037,SPF,0.25759913951715807,0.43989511501012135,0.5855921803342397,0.558149604479085
M037,SPF_lag_1,0.05174725546034168,0.36880736508655243,0.14030971276345724,0.8884152905644787
M037,alpha[1],0.7254733690040028,0.39340772346682806,1.844075054274257,0.06517220283583769
M037,beta[1],0.2745266309959971,0.152460884316395,1.8006364860529387,0.07176019443231671
M037,omega,0.08937591627392691,0.04558276557623177,1.9607392211527028,0.049909451302079084
M038,Const,0.08224284971214785,0.1120011335732578,0.734303726116793,0.46276364746582543
